model,ece_w10,ece_w15,ece_w20,ece_m15
anthropic_claude-fable-5.1,0.0698,0.0733,0.0746,0.1230
anthropic_claude-haiku-4.5,0.1648,0.1668,0.1668,0.2087
anthropic_claude-opus-5,0.0549,0.0664,0.0692,0.0889
anthropic_claude-sonnet-5,0.0629,0.0752,0.0752,0.1558
deepseek_deepseek-v3.2,0.1937,0.1937,0.1983,0.2690
google_gemini-3.1-pro-preview,0.2326,0.2326,0.2326,0.2362
google_gemini-3.5-flash-lite,0.2145,0.2150,0.2150,0.2391
google_gemini-3.8-flash,0.1889,0.1889,0.1907,0.2018
google_gemma-4-31b-it,0.2854,0.2854,0.2854,0.2933
jev,0.1567,0.1567,0.1600,0.1539
local_qwen3-base,0.1414,0.1443,0.1438,0.1509
local_rlcd-0.6b,0.1278,0.1283,0.1283,0.1316
meta-llama_llama-4-maverick,0.2685,0.2713,0.2713,0.2887
meta-llama_llama-4-scout,0.3122,0.3122,0.3122,0.3337
mistralai_mistral-medium-3-5,0.2608,0.2608,0.2608,0.2821
moonshotai_kimi-k2.6,0.1859,0.1921,0.1937,0.2196
openai_gpt-5.6-luna,0.3346,0.3335,0.3359,0.3310
openai_gpt-5.6-sol,0.2334,0.2334,0.2350,0.2334
openai_gpt-5.6-terra,0.2158,0.2158,0.2158,0.2158
openai_gpt-oss-120b,0.2867,0.2869,0.2887,0.2873
qwen_qwen3-235b-a22b-2507,0.3074,0.3074,0.3074,0.3246
z-ai_glm-5.3,0.1668,0.1678,0.1678,0.1955
