model,T,median_ece_before,median_ece_after
anthropic_claude-fable-5.1,1.413,0.0733,0.0732
anthropic_claude-haiku-4.5,2.113,0.1668,0.1323
anthropic_claude-opus-5,1.585,0.0664,0.0862
anthropic_claude-sonnet-5,1.413,0.0752,0.0895
deepseek_deepseek-v3.2,5.957,0.1937,0.1137
google_gemini-3.1-pro-preview,3.162,0.2326,0.0762
google_gemini-3.5-flash-lite,5.957,0.2150,0.0888
google_gemini-3.8-flash,3.350,0.1889,0.0834
google_gemma-4-31b-it,6.310,0.2854,0.1064
jev,2.661,0.1567,0.1208
local_qwen3-base,0.750,0.1443,0.1774
local_rlcd-0.6b,1.122,0.1283,0.1234
meta-llama_llama-4-maverick,6.683,0.2713,0.0750
meta-llama_llama-4-scout,8.414,0.3122,0.0602
mistralai_mistral-medium-3-5,5.623,0.2608,0.1176
moonshotai_kimi-k2.6,2.985,0.1921,0.1074
openai_gpt-5.6-luna,5.957,0.3335,0.1330
openai_gpt-5.6-sol,3.758,0.2334,0.1269
openai_gpt-5.6-terra,3.758,0.2158,0.0964
openai_gpt-oss-120b,4.467,0.2869,0.0956
qwen_qwen3-235b-a22b-2507,6.310,0.3074,0.0846
z-ai_glm-5.3,2.661,0.1678,0.1372
