model,n,share_first_pred,share_first_gold,tv_distance
anthropic_claude-fable-5.1,3928,0.2360,0.2925,0.1288
anthropic_claude-haiku-4.5,4011,0.2359,0.2992,0.1157
anthropic_claude-opus-5,4102,0.2604,0.2925,0.1085
anthropic_claude-sonnet-5,4082,0.2482,0.2937,0.1075
deepseek_deepseek-v3.2,4081,0.2460,0.2940,0.1296
google_gemini-3.1-pro-preview,4077,0.2394,0.2938,0.1359
google_gemini-3.5-flash-lite,4088,0.2233,0.2931,0.1659
google_gemini-3.8-flash,4104,0.2354,0.2924,0.1318
google_gemma-4-31b-it,4058,0.2070,0.2960,0.1619
jev,4115,0.2433,0.2919,0.1094
local_qwen3-base,4001,0.4879,0.2999,0.2559
local_rlcd-0.6b,4001,0.1722,0.2999,0.2214
meta-llama_llama-4-maverick,4110,0.2538,0.2922,0.1389
meta-llama_llama-4-scout,4082,0.2749,0.2940,0.0804
mistralai_mistral-medium-3-5,4091,0.2410,0.2936,0.1183
moonshotai_kimi-k2.6,4076,0.2230,0.2947,0.1303
openai_gpt-5.6-luna,4114,0.2304,0.2919,0.1108
openai_gpt-5.6-sol,4115,0.2277,0.2919,0.1295
openai_gpt-5.6-terra,4115,0.2292,0.2919,0.1159
openai_gpt-oss-120b,4085,0.2874,0.2928,0.0960
qwen_qwen3-235b-a22b-2507,4103,0.2391,0.2927,0.1470
z-ai_glm-5.3,4054,0.2679,0.2938,0.1053
