llm,t,cost_scenario,median_cost_fraction
anthropic_claude-haiku-4.5,0.5,baseline,0.2658
anthropic_claude-haiku-4.5,0.5,jev_x2,0.3447
anthropic_claude-haiku-4.5,0.5,jev_x0.5,0.2432
anthropic_claude-haiku-4.5,0.5,llm_x2,0.2432
anthropic_claude-haiku-4.5,0.5,llm_x0.5,0.3447
anthropic_claude-haiku-4.5,0.8,baseline,0.5283
anthropic_claude-haiku-4.5,0.8,jev_x2,0.6136
anthropic_claude-haiku-4.5,0.8,jev_x0.5,0.4969
anthropic_claude-haiku-4.5,0.8,llm_x2,0.4969
anthropic_claude-haiku-4.5,0.8,llm_x0.5,0.6136
anthropic_claude-haiku-4.5,0.95,baseline,0.7549
anthropic_claude-haiku-4.5,0.95,jev_x2,0.8160
anthropic_claude-haiku-4.5,0.95,jev_x0.5,0.7244
anthropic_claude-haiku-4.5,0.95,llm_x2,0.7244
anthropic_claude-haiku-4.5,0.95,llm_x0.5,0.8160
google_gemini-3.8-flash,0.5,baseline,0.2717
google_gemini-3.8-flash,0.5,jev_x2,0.3017
google_gemini-3.8-flash,0.5,jev_x0.5,0.2567
google_gemini-3.8-flash,0.5,llm_x2,0.2567
google_gemini-3.8-flash,0.5,llm_x0.5,0.3017
google_gemini-3.8-flash,0.8,baseline,0.5610
google_gemini-3.8-flash,0.8,jev_x2,0.6095
google_gemini-3.8-flash,0.8,jev_x0.5,0.5367
google_gemini-3.8-flash,0.8,llm_x2,0.5367
google_gemini-3.8-flash,0.8,llm_x0.5,0.6095
google_gemini-3.8-flash,0.95,baseline,0.8057
google_gemini-3.8-flash,0.95,jev_x2,0.8244
google_gemini-3.8-flash,0.95,jev_x0.5,0.7963
google_gemini-3.8-flash,0.95,llm_x2,0.7963
google_gemini-3.8-flash,0.95,llm_x0.5,0.8244
google_gemma-4-31b-it,0.5,baseline,0.8443
google_gemma-4-31b-it,0.5,jev_x2,1.4701
google_gemma-4-31b-it,0.5,jev_x0.5,0.5265
google_gemma-4-31b-it,0.5,llm_x2,0.5265
google_gemma-4-31b-it,0.5,llm_x0.5,1.4701
google_gemma-4-31b-it,0.8,baseline,1.1299
google_gemma-4-31b-it,0.8,jev_x2,1.6934
google_gemma-4-31b-it,0.8,jev_x0.5,0.7939
google_gemma-4-31b-it,0.8,llm_x2,0.7939
google_gemma-4-31b-it,0.8,llm_x0.5,1.6934
google_gemma-4-31b-it,0.95,baseline,1.3612
google_gemma-4-31b-it,0.95,jev_x2,1.9105
google_gemma-4-31b-it,0.95,jev_x0.5,0.9982
google_gemma-4-31b-it,0.95,llm_x2,0.9982
google_gemma-4-31b-it,0.95,llm_x0.5,1.9105
