task,n,ece,ece_lo,ece_hi,cov09,cov_lo,cov_hi,acc09,acc_lo,acc_hi
conv_go_awry,500,0.3017,0.2664,0.35009149999999994,0.642,0.6,0.684,0.6105919003115264,0.5593708881578947,0.6676925465838509
discourse,497,0.09593561368209255,0.07739738430583501,0.14408802816901406,0.2414486921529175,0.20321931589537223,0.2796780684104628,0.8333333333333334,0.7663494874886946,0.8983264492237573
emotion,498,0.2812449799196787,0.24564106425702814,0.32362098393574296,0.4497991967871486,0.40562248995983935,0.4939759036144578,0.7053571428571429,0.6472940532345014,0.7633928571428571
flute,500,0.03865999999999999,0.03629899999999999,0.07446100000000001,0.564,0.522,0.606,0.975177304964539,0.9557173532486178,0.9925932759327594
ibc,498,0.12415662650602409,0.10383383534136546,0.1733363453815261,0.3755020080321285,0.3313253012048193,0.41767068273092367,0.8235294117647058,0.768355440923606,0.8736992481203008
implicit_hate,498,0.2099598393574297,0.1777274096385542,0.25590763052208826,0.18072289156626506,0.14859437751004015,0.21485943775100402,0.7444444444444445,0.6521739130434783,0.8314606741573034
indian_english_dialect,266,0.06278195488721805,0.060036654135338346,0.13094360902255642,0.2894736842105263,0.23684210526315788,0.3458646616541353,0.922077922077922,0.8552631578947368,0.975
media_ideology,498,0.12495983935742971,0.1031300200803213,0.17388554216867466,0.3353413654618474,0.29518072289156627,0.3795180722891566,0.8562874251497006,0.8011679751865852,0.9085365853658537
mrf,500,0.10774,0.08647899999999999,0.14758599999999997,0.526,0.482,0.572,0.8935361216730038,0.8560885608856088,0.9288463239847828
persuasion,434,0.18511520737327192,0.16080587557603684,0.24338767281105986,0.18663594470046083,0.15207373271889402,0.22350230414746544,0.691358024691358,0.5925925925925926,0.7941176470588235
raop,399,0.1567418546365915,0.12583145363408524,0.20564035087719298,0.44110275689223055,0.39348370927318294,0.48872180451127817,0.8068181818181818,0.749966577540107,0.863163646821973
reddit_humor,500,0.17448,0.14611,0.22666349999999996,0.202,0.166,0.238,0.7821782178217822,0.6952380952380952,0.8571765498652288
semeval_stance,435,0.13841379310344826,0.11573793103448274,0.1857948275862069,0.4482758620689655,0.40229885057471265,0.4942528735632184,0.8564102564102564,0.8072916666666666,0.9027157802964254
talklife,498,0.5378915662650603,0.49943072289156626,0.5849206827309237,0.7811244979919679,0.7449297188755021,0.8172690763052208,0.38303341902313626,0.33418351201239993,0.43257178736700547
tempowic,344,0.1699127906976744,0.13927107558139531,0.22703561046511628,0.2238372093023256,0.18023255813953487,0.27325581395348836,0.9090909090909091,0.84,0.9710144927536232
tropes,114,0.12649122807017543,0.09789035087719299,0.2072850877192982,0.0,0.0,0.0,nan,nan,nan
wiki_corpus,500,0.23284,0.2083145,0.2868255,0.404,0.358,0.4480499999999997,0.6435643564356436,0.5756063046479521,0.7087466902030009
wiki_politeness,498,0.10092369477911649,0.07937751004016065,0.1473719879518072,0.19477911646586346,0.1606425702811245,0.2289156626506024,0.8969072164948454,0.8349110032362459,0.9540229885057471
