model,metric,point,lo,hi
jev,ece,0.1567418546365915,0.10774,0.23284
jev,acc,0.8151737967914439,0.691358024691358,0.8969072164948454
jev,cov,0.3755020080321285,0.202,0.526
anthropic_claude-opus-5,ece,0.06644,0.04593939393939393,0.13684738955823295
anthropic_claude-opus-5,acc,0.8620689655172413,0.7631578947368421,0.95
anthropic_claude-opus-5,cov,0.25903614457831325,0.09292929292929293,0.32706766917293234
anthropic_claude-fable-5.1,ece,0.07332665330661324,0.06794661190965093,0.18859504132231403
anthropic_claude-fable-5.1,acc,0.9525280898876405,0.8846153846153846,0.9961240310077519
anthropic_claude-fable-5.1,cov,0.19230769230769232,0.12396694214876033,0.35294117647058826
anthropic_claude-sonnet-5,ece,0.07524193548387098,0.05886627906976742,0.18245472837022136
anthropic_claude-sonnet-5,acc,0.9418604651162791,0.7575757575757576,0.9806763285024155
anthropic_claude-sonnet-5,cov,0.09473684210526316,0.055299539170506916,0.22568093385214008
