model,kind,vendor,n_tasks,cost_per_1k,median_f1,mean_f1,median_acc,median_ece,tier
anthropic_claude-fable-5.1,llm,anthropic,15,7.7329983198411485,0.6530528862473538,0.6314461378736046,0.652,0.07332665330661321,4
anthropic_claude-haiku-4.5,llm,anthropic,15,0.4673626088284711,0.5993297880090334,0.5466315208169893,0.622,0.16678714859437752,1
anthropic_claude-opus-5,llm,anthropic,15,6.157026118833053,0.6386357361787596,0.6432239534915469,0.6506024096385542,0.06644000000000001,3
anthropic_claude-sonnet-5,llm,anthropic,15,1.7133850618603943,0.6523759479648934,0.6054311329105597,0.6626506024096386,0.07524193548387097,2
deepseek_deepseek-v3.2,llm,deepseek,15,0.09805941750878264,0.5490945819204963,0.5281784997147523,0.598,0.1936746987951807,
google_gemini-3.1-pro-preview,llm,google,15,3.689152153987168,0.6425447082153353,0.6407576409049875,0.658,0.2326305220883534,4
google_gemini-3.5-flash-lite,llm,google,15,0.6030620837152461,0.6324525745257452,0.5990611941898312,0.642570281124498,0.21495391705069122,2
google_gemini-3.8-flash,llm,google,15,0.8411186984417964,0.6693947424407138,0.6536546752899413,0.678,0.18889400921658983,3
google_gemma-4-31b-it,llm,google,15,0.05746024469222545,0.6108633008329056,0.5785662490037933,0.626,0.28544176706827307,1
jev,jev,decision,15,0.027926869405834734,0.5812557174700115,0.5731939883454807,0.61,0.15674185463659146,3
local_qwen3-base,local,decision,14,0.0,0.27754829502776657,0.26321056295989187,0.39964368753208324,0.14431539848440345,1
local_rlcd-0.6b,local,decision,14,0.0,0.36057660816945547,0.35049381483722475,0.44218103398029956,0.128318565233528,2
meta-llama_llama-4-maverick,llm,meta-llama,15,0.079589419963342,0.5739573957395739,0.5215492265082972,0.574,0.27128514056224906,2
meta-llama_llama-4-scout,llm,meta-llama,15,0.0503446204368413,0.48617430196908495,0.49210702397837924,0.5461847389558233,0.3122489959839358,1
mistralai_mistral-medium-3-5,llm,mistralai,15,0.6408097601955094,0.5457210503466394,0.5350795461710399,0.5921658986175116,0.26075581395348835,
moonshotai_kimi-k2.6,llm,moonshotai,15,0.2559223090209256,0.5930815595609004,0.570605145510382,0.6165413533834586,0.19210843373493977,
openai_gpt-5.6-luna,llm,openai,15,0.12321571712234614,0.5822786388518273,0.5775177210263319,0.608433734939759,0.33348,2
openai_gpt-5.6-sol,llm,openai,15,1.0616641209714373,0.6462033964473941,0.6257703808162524,0.652,0.23338709677419353,3
openai_gpt-5.6-terra,llm,openai,15,1.4483294638765847,0.6341710124078404,0.6121188277145495,0.6465863453815262,0.2158294930875576,4
openai_gpt-oss-120b,llm,openai,15,0.043368660455170314,0.524565566334008,0.5278171533309128,0.568,0.28691244239631336,1
qwen_qwen3-235b-a22b-2507,llm,qwen,15,0.05243736910035131,0.6037717725409837,0.5393410678233697,0.604,0.30741999999999997,
z-ai_glm-5.3,llm,z-ai,15,0.5329235486069955,0.605665113199195,0.5923694296505837,0.6240601503759399,0.16779999999999998,
