task,model,n_noconf,acc_noconf,acc_conf,delta
discourse,anthropic_claude-fable-5.1,497,0.682092555331992,0.6861167002012073,0.004024144869215318
discourse,anthropic_claude-haiku-4.5,497,0.5774647887323944,0.5734406438631791,-0.004024144869215318
discourse,anthropic_claude-opus-5,497,0.7002012072434608,0.7002012072434608,0.0
discourse,anthropic_claude-sonnet-5,497,0.6317907444668008,0.641851106639839,0.010060362173038184
discourse,deepseek_deepseek-v3.2,497,0.5814889336016097,0.5714285714285714,-0.010060362173038295
discourse,google_gemma-4-31b-it,497,0.5955734406438632,0.5975855130784709,0.002012072434607659
discourse,meta-llama_llama-4-maverick,497,0.48088531187122735,0.5090543259557344,0.02816901408450706
discourse,meta-llama_llama-4-scout,497,0.46680080482897385,0.4647887323943662,-0.002012072434607659
discourse,mistralai_mistral-medium-3-5,497,0.6016096579476862,0.607645875251509,0.006036217303822866
discourse,moonshotai_kimi-k2.6,497,0.607645875251509,0.6740442655935613,0.0663983903420523
discourse,openai_gpt-5.6-luna,497,0.6156941649899397,0.6156941649899397,0.0
discourse,openai_gpt-5.6-sol,497,0.6740442655935613,0.676056338028169,0.002012072434607659
discourse,openai_gpt-5.6-terra,497,0.6579476861167002,0.676056338028169,0.01810865191146882
discourse,openai_gpt-oss-120b,497,0.5835010060362174,0.5573440643863179,-0.026156941649899457
discourse,qwen_qwen3-235b-a22b-2507,497,0.5573440643863179,0.5653923541247485,0.008048289738430636
discourse,z-ai_glm-5.3,497,0.6317907444668008,0.6338028169014085,0.002012072434607659
implicit_hate,anthropic_claude-fable-5.1,498,0.4759036144578313,0.5120481927710844,0.03614457831325307
implicit_hate,anthropic_claude-haiku-4.5,498,0.28112449799196787,0.25502008032128515,-0.026104417670682722
implicit_hate,anthropic_claude-opus-5,498,0.5863453815261044,0.5983935742971888,0.012048192771084376
implicit_hate,anthropic_claude-sonnet-5,498,0.4959839357429719,0.45582329317269077,-0.040160642570281124
implicit_hate,deepseek_deepseek-v3.2,498,0.3273092369477912,0.26506024096385544,-0.06224899598393574
implicit_hate,google_gemma-4-31b-it,498,0.40963855421686746,0.40763052208835343,-0.0020080321285140257
implicit_hate,meta-llama_llama-4-maverick,498,0.26706827309236947,0.3253012048192771,0.05823293172690763
implicit_hate,meta-llama_llama-4-scout,498,0.1285140562248996,0.20682730923694778,0.0783132530120482
implicit_hate,mistralai_mistral-medium-3-5,498,0.08634538152610442,0.12449799196787148,0.03815261044176706
implicit_hate,moonshotai_kimi-k2.6,498,0.285140562248996,0.37751004016064255,0.09236947791164657
implicit_hate,openai_gpt-5.6-luna,498,0.4718875502008032,0.4939759036144578,0.022088353413654616
implicit_hate,openai_gpt-5.6-sol,498,0.5562248995983936,0.5522088353413654,-0.004016064257028162
implicit_hate,openai_gpt-5.6-terra,498,0.4959839357429719,0.4979919678714859,0.0020080321285140257
implicit_hate,openai_gpt-oss-120b,498,0.27309236947791166,0.3192771084337349,0.04618473895582326
implicit_hate,qwen_qwen3-235b-a22b-2507,498,0.39357429718875503,0.4397590361445783,0.04618473895582326
implicit_hate,z-ai_glm-5.3,498,0.3253012048192771,0.4397590361445783,0.11445783132530118
semeval_stance,anthropic_claude-fable-5.1,435,0.7011494252873564,0.6804597701149425,-0.020689655172413834
semeval_stance,anthropic_claude-haiku-4.5,435,0.7103448275862069,0.7126436781609196,0.0022988505747126853
semeval_stance,anthropic_claude-opus-5,435,0.6505747126436782,0.6689655172413793,0.01839080459770115
semeval_stance,anthropic_claude-sonnet-5,435,0.7241379310344828,0.7011494252873564,-0.02298850574712641
semeval_stance,deepseek_deepseek-v3.2,435,0.7195402298850575,0.6528735632183909,-0.06666666666666665
semeval_stance,google_gemma-4-31b-it,435,0.6551724137931034,0.6597701149425287,0.0045977011494252595
semeval_stance,meta-llama_llama-4-maverick,435,0.5839080459770115,0.6,0.016091954022988464
semeval_stance,meta-llama_llama-4-scout,435,0.6919540229885057,0.6367816091954023,-0.05517241379310345
semeval_stance,mistralai_mistral-medium-3-5,435,0.6620689655172414,0.6183908045977011,-0.04367816091954024
semeval_stance,moonshotai_kimi-k2.6,435,0.6436781609195402,0.632183908045977,-0.011494252873563204
semeval_stance,openai_gpt-5.6-luna,435,0.6482758620689655,0.6620689655172414,0.01379310344827589
semeval_stance,openai_gpt-5.6-sol,435,0.7333333333333333,0.735632183908046,0.0022988505747126853
semeval_stance,openai_gpt-5.6-terra,435,0.664367816091954,0.639080459770115,-0.025287356321839094
semeval_stance,openai_gpt-oss-120b,435,0.735632183908046,0.7448275862068966,0.00919540229885063
semeval_stance,qwen_qwen3-235b-a22b-2507,435,0.664367816091954,0.6528735632183909,-0.011494252873563204
semeval_stance,z-ai_glm-5.3,435,0.6298850574712643,0.6045977011494252,-0.025287356321839094
