task,n,invalid_structured,invalid_free,acc_structured,acc_free,f1_structured,f1_free
conv_go_awry,500,0,0,0.6,0.618,0.5962793101220851,0.6165259256582303
discourse,497,0,0,0.7142857142857143,0.7122736418511066,0.7145813889371306,0.7107947742783566
emotion,498,0,0,0.6044176706827309,0.572289156626506,0.602645019133166,0.5652318126202702
flute,500,1,0,0.934,0.926,0.9342186518289411,0.9253315465394838
ibc,498,1,0,0.6325301204819277,0.6325301204819277,0.6325960941603399,0.6318117072841668
implicit_hate,498,1,24,0.5923694779116466,0.5602409638554217,0.5876123162032875,0.5707238179441164
indian_english_dialect,266,2,2,0.4548872180451128,0.462406015037594,0.5897031353234958,0.5981590491189623
media_ideology,498,0,0,0.8373493975903614,0.8253012048192772,0.8380609129286013,0.8258784715563662
mrf,500,2,0,0.826,0.826,0.822991255568388,0.8210693880573071
persuasion,434,2,0,0.7373271889400922,0.7350230414746544,0.7293226011672613,0.724963767516959
raop,399,1,0,0.7468671679197995,0.7293233082706767,0.7401836380223122,0.7236560616437082
reddit_humor,500,1,0,0.68,0.678,0.6759635713124086,0.6774309882632965
semeval_stance,435,1,0,0.7586206896551724,0.7632183908045977,0.7536959610344883,0.7577694330759602
talklife,498,0,0,0.3795180722891566,0.3674698795180723,0.29165907804319874,0.27089475211652686
tempowic,344,1,0,0.8546511627906976,0.8488372093023255,0.8555353624566886,0.8488320995166143
tropes,113,1,8,0.415929203539823,0.30973451327433627,0.3575221238938053,0.2430678466076696
wiki_corpus,500,0,0,0.702,0.684,0.6828046033780245,0.6625719704088432
wiki_politeness,498,2,0,0.6666666666666666,0.6706827309236948,0.6673335005079285,0.6693947424407138
